Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 Cambodia,0.7,0.6,0.6,0.8,1.0,1.1,4.0,6.0,5.7,5.4,5.1,5.1,6.2,6.7
 Cameroon,19.1,15.3,7.6,5.9,7.4,3.6,4.3,3.1,3.3,6.1,7.3,14.4,10.7,
 Central African Republic,,,,,,,,,,,,,,
 Chad,,,,,,,,,,,,,,
 China,3.4,2.6,2.4,2.1,2.9,3.0,2.9,3.1,3.0,3.0,4.9,6.8,7.5,8.2
 Colombia,39.8,34.0,23.6,17.7,22.0,20.6,15.4,21.4,14.2,22.0,28.2,33.8,41.4,40.8
 Comoros,6.8,5.9,34.1,15.5,14.7,4.7,3.8,13.2,0.5,0.6,7.4,3.5,1.9,
 Congo,2.3,1.4,1.8,2.0,2.8,1.6,1.2,1.6,3.2,3.2,4.4,3.2,,
 Congo Democratic Republic,7.9,9.2,7.6,7.7,12.4,3.1,2.5,3.1,3.3,3.2,3.7,4.0,3.4,2.4
 Costa Rica,9.2,7.6,7.8,12.5,11.3,7.8,11.3,14.8,20.5,20.5,15.8,14.9,14.9,18.3
 Côte d'Ivoire,3.5,2.8,4.4,9.0,9.0,5.9,5.3,5.4,8.0,7.2,6.4,13.0,17.1,
 Djibouti,5.6,7.7,8.0,8.2,8.3,31.0,33.3,30.0,29.0,29.2,28.8,31.6,57.8,
 Dominica,12.9,13.4,13.3,12.3,14.2,9.2,9.1,12.6,11.3,7.3,8.7,10.0,11.7,16.5
 Dominican Republic,9.1,15.2,15.1,15.1,16.7,11.2,10.8,16.5,17.3,18.4,29.9,18.6,15.6,15.1
 Ecuador,37.1,30.7,23.9,11.9,49.5,8.9,9.7,10.0,11.3,13.8,23.6,27.3,30.0,36.7
 Egypt,7.1,6.3,6.1,5.7,6.5,6.2,7.9,6.6,7.6,12.7,10.0,19.5,15.3,15.0
 El Salvador,24.9,31.6,24.0,20.2,27.5,22.1,22.2,19.2,17.4,19.3,18.6,20.1,51.6,45.8
 Eritrea,,,,,,,,,,,,,,
 Eswatini,1.9,2.0,2.2,3.0,2.7,2.4,2.8,2.4,1.9,1.7,1.7,2.2,2.2,2.3
 Ethiopia,4.5,5.9,4.7,2.9,2.8,3.8,5.9,7.1,10.7,11.9,17.2,20.8,20.8,
 Fiji,0.8,0.8,1.6,1.2,1.8,1.3,8.3,1.6,1.8,1.9,12.9,2.5,1.8,1.9
 Gabon,3.5,,12.1,28.4,6.0,4.6,3.8,4.0,11.9,5.0,7.7,,,
 Gambia,15.1,14.8,13.4,5.4,6.8,8.6,10.5,9.4,11.0,17.6,14.4,15.3,16.8,
 Georgia,8.1,10.7,6.0,16.7,21.0,17.5,24.8,21.7,20.4,23.5,30.5,36.2,29.3,23.7
 Ghana,8.6,5.6,3.9,3.2,3.3,3.4,2.4,3.0,4.3,5.2,6.0,8.6,9.4,
 Grenada,6.6,8.6,8.7,9.9,11.7,13.6,12.5,7.1,10.4,4.3,5.2,8.9,9.4,8.4
 Guatemala,14.8,15.8,16.4,15.3,18.0,14.4,15.7,12.3,22.2,13.7,14.9,22.1,28.6,26.7
 Guinea,18.8,15.9,13.3,10.8,12.5,6.5,13.0,8.2,4.4,3.8,5.6,3.1,1.9,2.2
 Guinea-Bissau,6.7,12.6,7.5,5.7,6.2,9.5,1.7,4.4,0.8,1.2,1.0,3.1,1.9,
 Guyana,5.0,4.4,3.3,2.5,2.1,2.7,3.5,8.6,3.7,4.3,5.3,5.0,,
 Haiti,9.3,8.1,10.0,6.1,4.2,12.5,0.4,0.4,0.8,1.5,2.0,5.4,1.2,1.2
 Honduras,10.1,7.9,7.2,7.4,9.6,10.3,16.0,13.7,14.7,10.3,18.4,14.9,24.0,28.1
 India,14.9,8.6,15.6,9.7,6.0,6.8,6.4,6.7,8.1,18.6,11.2,17.3,10.1,11.4
 Indonesia,20.9,25.7,19.1,14.5,19.6,18.7,14.4,17.4,19.9,29.9,34.6,37.5,29.4,26.0
 Iran,5.6,4.0,3.4,2.7,2.1,1.8,1.3,0.4,0.4,0.5,0.8,2.7,0.4,0.8
 Jamaica,22.5,16.2,23.6,19.5,35.0,28.0,36.7,37.4,26.4,33.4,88.0,40.5,27.0,20.4
 Jordan,11.9,11.3,10.6,20.9,6.0,5.9,6.5,6.4,6.2,8.2,14.3,17.2,12.4,14.1
 Kazakhstan,41.9,33.5,48.9,41.7,50.2,57.9,35.4,24.7,33.1,35.3,65.6,46.3,49.7,48.3
 Kenya,10.0,7.1,6.3,4.9,5.1,4.4,4.3,4.8,4.9,11.5,8.1,11.0,14.6,22.6
 Kyrgyzstan,14.8,7.6,9.4,12.3,11.4,24.5,12.7,9.8,10.1,12.2,16.8,18.3,30.2,31.3
 Lao,17.8,16.7,16.1,14.3,15.4,13.1,12.8,9.0,10.9,9.4,9.1,10.7,13.5,14.6
 Lebanon,24.3,26.7,24.5,17.9,47.9,50.5,51.6,56.7,55.8,62.9,64.2,70.2,77.7,72.1
 Lesotho,5.7,3.1,5.9,2.2,2.6,2.1,2.1,2.4,2.9,3.1,3.7,4.2,3.7,3.6
 Liberia,0.5,0.4,114.4,119.7,5.8,1.7,0.7,1.2,0.9,2.4,8.7,3.1,2.8,
 Madagascar,5.9,3.6,1.5,1.5,2.6,2.9,1.8,2.5,2.3,2.8,4.5,3.7,3.2,2.7
 Malawi,12.5,8.9,3.8,3.1,2.9,1.7,1.4,2.1,3.2,4.1,4.5,6.2,5.7,
 Maldives,6.3,5.7,4.0,4.7,5.7,4.0,3.6,3.3,2.6,5.4,4.3,4.4,4.8,9.2
 Mali,6.9,4.4,3.2,2.6,3.1,2.5,2.4,1.8,3.0,3.0,3.3,3.6,4.4,
 Mauritania,,5.9,7.5,3.1,4.8,4.9,4.0,5.2,5.8,10.9,14.2,15.0,15.7,
 Mauritius,20.5,31.9,30.5,23.0,42.8,21.7,20.6,40.9,20.3,43.3,32.9,12.8,17.0,23.3
 Mexico,15.5,19.9,12.7,11.1,12.7,10.1,11.2,17.8,10.2,11.5,13.2,19.4,14.6,11.9
 Moldova,13.6,17.7,14.1,16.6,16.9,14.5,12.7,15.0,15.9,14.2,12.7,12.7,10.7,12.9
 Mongolia,3.0,2.5,2.2,2.6,5.3,7.0,5.4,26.4,31.0,22.1,35.3,25.9,56.4,101.6
 Montenegro,,,9.8,3.4,4.1,5.7,40.2,49.4,55.5,53.2,64.3,61.3,52.1,63.7
 Morocco,15.8,16.9,16.2,13.3,13.7,11.8,9.9,10.9,15.3,13.0,10.5,10.8,9.8,8.8
 Mozambique,18.0,18.7,37.8,18.0,17.5,24.7,18.3,10.0,10.8,13.2,15.1,14.1,24.6,13.1
 Myanmar,0.6,1.2,1.3,1.4,1.8,3.1,2.6,12.0,2.7,4.6,3.6,5.7,4.6,4.9
 Nepal,8.5,10.2,8.9,8.5,10.1,10.6,9.2,10.3,8.8,8.2,8.5,9.3,8.5,
 Nicaragua,12.1,7.8,16.0,14.4,16.5,16.0,16.5,13.2,12.6,13.0,15.4,15.9,19.8,19.0
 Niger,6.7,26.6,4.0,2.4,3.2,1.8,2.4,2.4,4.0,6.3,6.2,8.4,8.5,
 Nigeria,15.4,11.0,1.4,0.8,1.3,1.5,0.5,1.3,0.5,5.3,3.1,6.3,6.8,8.3
 North Macedonia,12.5,21.1,18.5,10.1,16.9,16.4,18.8,15.0,18.6,17.4,20.5,15.5,13.7,16.6
 Pakistan,12.5,10.8,11.4,11.3,15.1,15.0,9.2,15.3,22.7,15.5,14.1,15.7,23.2,19.9
 Papua New Guinea,8.4,7.1,19.4,15.6,11.7,13.3,16.0,7.0,19.7,13.0,12.8,39.9,27.1,26.1
 Paraguay,9.5,6.8,5.3,4.5,5.8,4.5,6.9,16.0,11.4,22.1,16.6,10.7,12.5,15.7
 Peru,30.4,13.1,27.9,14.6,13.4,16.6,7.9,12.4,15.2,11.9,13.3,17.6,20.5,12.2
 Philippines,24.7,27.6,15.5,19.0,18.1,18.7,14.7,7.6,7.7,9.0,12.9,13.1,11.4,8.7
 Romania,27.0,26.7,25.1,30.0,34.0,33.2,26.8,31.4,36.3,28.9,31.4,23.3,22.4,20.8
 Russian Federation,14.2,13.2,8.7,13.8,24.2,11.6,7.2,7.9,8.0,14.6,23.5,19.2,17.7,19.6
 Rwanda,10.9,6.7,5.0,6.6,6.6,7.4,4.8,7.6,8.4,12.8,12.5,14.4,12.1,12.6
 Saint Lucia,6.0,7.5,10.0,10.6,7.6,6.9,7.5,7.0,5.6,3.7,6.7,4.9,4.6,3.9
 Saint Vincent and the Grenadines,11.3,14.8,12.3,13.9,17.6,18.5,18.2,18.1,15.7,11.6,11.6,10.8,11.6,12.3
