Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Central African Republic,1201,1243,1300,825,823,853,884,913,933,945
 Chad,1733,1677,1765,1804,1866,1857,1687,1587,1576,1580
 Chile,20561,21601,22531,23214,23375,23634,23722,23664,24259,24226
 China,8885,9687,10397,11150,11917,12692,13488,14344,15243,16117
 Colombia,11902,12606,12982,13525,13991,14238,14338,14316,14456,14731
 Comoros,2878,2925,2946,3006,2996,2960,2988,3032,3067,3081
 Congo,3550,3570,3611,3644,3797,3802,3603,3449,3414,3298
 Congo Democratic Republic,866,895,927,972,1030,1065,1056,1060,1086,1098
 Costa Rica,15918,16404,16989,17177,17583,18024,18592,19112,19427,19642
 Croatia,24124,24132,23664,23600,23672,24449,25479,26596,27558,28509
 Cyprus,38227,37414,35578,33324,33065,34376,36527,37767,38822,39545
 Czechia,33505,34030,33711,33537,34411,36167,36982,38489,39453,40314
 Côte d'Ivoire,3661,3418,3693,3923,4162,4417,4616,4831,5029,5238
 Denmark,50947,51416,51339,51602,52173,53019,54314,55065,56103,57184
 Djibouti,,,,4028,4239,4489,4710,4885,5214,5519
 Dominica,12004,11970,11835,11709,12218,11872,12155,11304,11533,12156
 Dominican Republic,12782,13024,13220,13702,14500,15328,16167,16735,17712,18419
 Ecuador,10341,10984,11431,11819,12078,11896,11552,11618,11562,11375
 Egypt,10340,10302,10301,10290,10354,10570,10796,11014,11366,11763
 El Salvador,7329,7576,7755,7892,7990,8143,8310,8454,8616,8776
 Equatorial Guinea,34732,35378,36671,33679,32436,28314,24827,22551,20360,18558
 Estonia,26178,28212,29198,29696,30664,31209,32021,33821,35308,36710
 Eswatini,7515,7632,7989,8240,8253,8375,8406,8494,8606,8688
 Ethiopia,1259,1361,1437,1545,1657,1779,1895,2022,2104,2220
 Fiji,10518,10757,10888,11397,12023,12553,12812,13429,13808,13853
 Finland,45875,46826,45953,45329,44977,45073,46162,47481,48191,48621
 France,42350,43069,42996,43021,43227,43553,43914,44827,45561,46184
 Gabon,14414,14882,15082,15341,15436,15509,15359,15007,14743,14870
 Gambia,2347,2092,2136,2131,2039,2059,2037,2073,2144,2207
 Georgia,9737,10541,11296,11740,12255,12605,12964,13590,14257,15014
 Germany,46927,49681,49796,49873,50771,51209,51930,53012,53660,53815
 Ghana,3732,4155,4434,4649,4676,4670,4724,4997,5194,5413
 Greece,33966,30909,28808,28077,28474,28537,28601,29089,29712,30315
 Grenada,13412,13443,13208,13428,14317,15143,15614,16218,16801,17242
 Guatemala,7336,7504,7590,7734,7939,8125,8206,8317,8448,8638
 Guinea,1872,1934,2004,2037,2063,2090,2255,2421,2498,2564
 Guinea-Bissau,1747,1840,1761,1770,1741,1800,1864,1925,1949,1989
 Guyana,7075,7417,7774,8122,8393,8604,8848,8989,9312,9703
 Haiti,1611,1674,1697,1744,1767,1764,1766,1764,1767,1729
 Honduras,4867,4956,5065,5113,5177,5283,5396,5562,5672,5728
 Hong Kong,51361,53473,53785,55231,56359,57216,58096,59849,61072,59893
 Hungary,24493,25010,24769,25325,26459,27541,28231,29529,31073,32623
 Iceland,46832,47567,47928,49440,49911,51739,54408,55562,56158,55874
 India,4227,4392,4575,4810,5107,5454,5841,6186,6497,6754
 Indonesia,8287,8680,9080,9457,9801,10150,10531,10936,11372,11812
