Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Suriname,-5.7,3.3,3.4,3.6,-1.1,3.8,7.4,3.0,3.8,1.8
 Sweden,0.1,1.2,0.8,0.2,-1.5,2.0,3.0,4.9,-0.3,4.6
 Switzerland,3.0,3.0,6.0,-3.6,3.0,16.2,14.6,19.0,-10.8,-2.6
 Syria,,,,,,,,,,
 Tajikistan,1.7,2.2,3.2,3.4,3.6,5.8,3.5,2.6,2.9,2.6
 Tanzania,5.7,3.5,4.5,4.6,2.8,3.2,1.7,1.8,1.8,
 Thailand,4.3,0.7,3.2,3.8,1.2,2.2,0.7,1.8,2.6,1.2
 Timor Leste,3.4,4.7,3.5,4.0,2.3,2.7,0.3,0.4,3.1,4.5
 Togo,3.6,18.8,3.1,4.2,1.2,6.2,-1.0,1.8,-3.4,
 Tonga,1.3,1.8,-0.2,1.4,3.0,1.5,1.4,-1.3,3.3,
 Trinidad and Tobago,2.5,0.2,-7.4,-4.1,2.4,0.7,-0.1,-2.0,-2.9,
 Tunisia,3.0,0.9,3.5,2.3,2.2,2.2,1.5,2.0,2.5,
 Turkey,1.2,1.9,1.6,1.4,1.4,2.2,1.6,1.3,1.7,1.1
 Turkmenistan,16.1,11.6,8.9,7.3,8.8,8.5,6.2,5.5,4.9,
 Tuvalu,1.4,-0.3,3.5,0.9,0.8,0.8,0.8,0.7,0.7,
 Uganda,2.1,3.2,4.5,3.8,3.3,2.3,2.2,2.6,3.2,3.7
 Ukraine,4.7,4.4,4.7,2.5,0.6,3.4,3.7,2.5,1.9,2.0
 United Arab Emirates,3.0,2.0,2.6,2.5,2.7,2.4,2.7,2.7,2.5,
 United Kingdom,2.7,1.0,1.7,2.0,1.9,1.5,12.1,4.5,2.8,1.0
 United States,1.8,1.7,1.5,1.7,1.4,2.8,2.6,1.8,1.3,1.5
 Uruguay,5.4,5.6,11.8,1.3,6.7,4.5,-0.4,4.5,2.0,1.3
 Uzbekistan,3.5,2.9,0.9,0.9,1.1,1.3,2.0,3.0,1.2,3.9
 Vanuatu,9.0,7.7,7.7,7.4,1.6,4.1,5.5,4.3,4.1,
 Venezuela,0.4,1.9,1.3,0.6,0.2,,,,,
 Viet Nam,6.9,5.5,5.4,5.2,4.9,6.1,6.1,6.3,6.3,
 Yemen,0.6,-1.6,0.0,-0.3,-0.5,0.0,-2.0,-1.1,-1.0,
 Zambia,8.5,4.7,6.8,7.5,5.6,7.5,3.2,4.3,1.5,2.1
 Zimbabwe,1.0,2.4,2.0,2.0,2.4,2.0,1.7,1.1,3.1,
 Andorra,,,,,,,,,,
 Cuba,,,,,,,,,,
